0.009582
0.009582
0(378467)::	9:0.018546	7:0.009790	
4960(474144)::	7:0.041236	
4961(426319)::	7:0.088355	
4962(475659)::	7:0.051228	
4963(235131)::	7:0.010153	8:0.008384	
4964(231420)::	7:0.020566	
4965(289857)::	7:0.005054	
4966(472123)::	7:0.102973	11:0.038663	
4967(115077)::	
4968(507777)::	6:0.003137	
4969(237311)::	7:0.015104	
4970(191928)::	7:0.030670	
4971(522287)::	7:0.030675	
4972(151976)::	7:0.030730	
4973(539328)::	3:0.021037	6:0.004256	
4974(336837)::	3:0.026615	
4975(401884)::	3:0.026312	
4976(82398)::	3:0.026252	
4977(385944)::	3:0.020869	
4978(35858)::	3:0.020843	
4979(336828)::	3:0.026613	
4980(60753)::	3:0.031714	
4981(271101)::	3:0.026594	
4982(123759)::	3:0.020880	
4983(383241)::	3:0.036966	
4984(382159)::	3:0.026406	
4985(494435)::	3:0.010286	6:0.004230	
4986(525234)::	3:0.015176	
4987(34324)::	4:0.015996	
4988(380245)::	4:0.025117	
4989(125072)::	4:0.130197	
4990(529347)::	4:0.003189	
4991(512291)::	4:0.008183	
4992(34321)::	9:0.023439	
4993(325572)::	9:0.018714	
4994(330184)::	9:0.042504	
4995(519056)::	9:0.018714	
4996(88547)::	9:0.032590	
4997(173979)::	9:0.013959	
4998(288725)::	3:0.005032	8:0.003612	
4999(484630)::	8:0.020972	
5000(91589)::	3:0.057653	
5001(303)::	9:0.012034	
5002(179624)::	9:0.013410	
5003(471548)::	9:0.013409	
5004(61766)::	9:0.003325	
5005(288720)::	3:0.005003	
5006(527089)::	3:0.052802	
5007(502642)::	7:0.009938	
5008(83996)::	7:0.040842	
5009(328247)::	7:0.030196	6:0.029375	
5010(288728)::	9:0.028404	
5011(488249)::	11:0.018885	9:0.037864	
5012(398156)::	9:0.023469	
5013(193312)::	9:0.023497	
5014(450124)::	9:0.042913	
5015(193315)::	9:0.018784	
5016(168194)::	9:0.023516	
5017(267590)::	3:0.026537	
5018(105440)::	3:0.079778	
5019(157837)::	3:0.122892	
5020(70483)::	3:0.058479	
5021(45970)::	3:0.101191	
5022(217059)::	3:0.047743	
5023(541268)::	4:0.009338	
5024(442795)::	4:0.015272	
5025(316860)::	3:0.004841	4:0.009827	
5026(369772)::	4:0.016011	
5027(147335)::	4:0.026049	
5028(4711)::	4:0.211792	
5029(71602)::	4:0.157465	
5030(197255)::	7:0.004874	3:0.004909	
5031(49090)::	3:0.041613	
5032(493326)::	7:0.051203	
5033(375951)::	4:0.037396	
5034(509889)::	4:0.031934	
5035(440803)::	4:0.026594	
5036(19887)::	4:0.031894	
5037(365066)::	4:0.026469	
5038(460299)::	4:0.026440	
5039(422566)::	4:0.042724	
5040(46645)::	4:0.021256	
5041(237523)::	4:0.008365	
5042(392565)::	4:0.037013	
5043(173736)::	4:0.003239	
5044(148991)::	9:0.038150	
5045(152836)::	9:0.023751	
5046(462462)::	9:0.023773	
5047(327651)::	9:0.018819	
5048(387906)::	9:0.042617	
5049(358357)::	9:0.028496	
5050(68162)::	9:0.023696	
5051(444254)::	9:0.028442	
5052(224907)::	9:0.047507	
5053(188172)::	3:0.026122	
5054(349780)::	3:0.015423	
5055(349772)::	3:0.020713	
5056(542403)::	3:0.057718	
5057(319293)::	3:0.008295	
5058(514686)::	3:0.020848	
5059(79091)::	3:0.036324	
5060(533142)::	3:0.008293	
5061(542402)::	3:0.052528	
5062(8336)::	3:0.031310	
5063(542974)::	3:0.020579	
5064(232349)::	3:0.008292	
5065(29879)::	3:0.031547	
5066(542419)::	3:0.020878	
5067(169678)::	3:0.010372	
5068(91980)::	6:0.017195	
5069(303124)::	6:0.021634	
5070(390721)::	6:0.030028	
5071(539208)::	6:0.056235	8:0.008988	
5072(303166)::	6:0.017290	
5073(55121)::	3:0.036996	
5074(522066)::	4:0.014663	3:0.015718	
5075(230235)::	3:0.047754	
5076(42298)::	3:0.042442	
5077(230233)::	3:0.042410	
5078(532537)::	3:0.026517	
5079(486203)::	3:0.090739	
5080(414733)::	3:0.079689	
5081(539910)::	6:0.025781	
5082(10090)::	6:0.013035	
5083(324378)::	6:0.017021	
5084(324377)::	6:0.012700	
5085(539881)::	6:0.056773	
5086(539900)::	6:0.021584	
5087(475109)::	6:0.012182	
5088(540519)::	4:0.021204	
5089(228371)::	4:0.031930	
5090(316312)::	4:0.031929	
5091(76799)::	4:0.031929	
5092(228369)::	4:0.063998	
5093(540518)::	8:0.056503	
5094(169972)::	8:0.012974	
5095(289661)::	8:0.016444	
5096(220607)::	8:0.012520	
5097(425981)::	9:0.023507	8:0.008386	
5098(80259)::	8:0.016882	
5099(185744)::	8:0.004162	3:0.005103	
5100(525026)::	8:0.012520	
5101(41399)::	3:0.005816	8:0.025381	
5102(50260)::	8:0.057462	
5103(289171)::	8:0.017314	
5104(363270)::	8:0.026235	
5105(507732)::	8:0.004289	9:0.019030	
5106(542643)::	8:0.004162	3:0.005102	
5107(540517)::	4:0.013071	3:0.013151	
5108(61770)::	3:0.031114	
5109(538734)::	3:0.025941	
5110(161158)::	4:0.070057	
5111(239622)::	3:0.037778	4:0.030044	
5112(540515)::	4:0.061162	3:0.034211	
5113(519582)::	4:0.026984	
5114(290374)::	4:0.064651	
5115(61774)::	3:0.015482	
5116(220869)::	4:0.010426	
5117(361502)::	4:0.021456	
5118(475652)::	4:0.021439	
5119(173033)::	3:0.010140	
5120(418889)::	8:0.004751	3:0.002612	4:0.007666	
5121(39917)::	3:0.015520	
5122(504569)::	3:0.026415	
5123(123061)::	4:0.021433	
5124(540511)::	9:0.023583	
5125(158888)::	9:0.018789	
5126(421842)::	9:0.023558	
5127(506892)::	9:0.042895	
5128(127203)::	9:0.033172	
5129(506975)::	9:0.028486	
5130(412769)::	6:0.038818	
5131(260111)::	6:0.004002	
5132(330348)::	6:0.021877	
5133(223813)::	6:0.012380	
5134(450069)::	6:0.025466	
5135(324875)::	6:0.039645	
5136(173467)::	6:0.011419	
5137(492870)::	6:0.008001	
5138(340677)::	6:0.017303	
5139(126345)::	
5140(354790)::	
5141(126342)::	3:0.036536	
5142(164906)::	3:0.020831	
5143(245480)::	3:0.020356	
5144(259054)::	3:0.020560	8:0.008533	
5145(458175)::	3:0.020831	
5146(126349)::	3:0.010007	
5147(245408)::	3:0.026044	
5148(103714)::	3:0.036130	
5149(542404)::	8:0.012003	
5150(190192)::	8:0.020694	
5151(195799)::	8:0.016213	
5152(310504)::	8:0.007465	
5153(126348)::	4:0.009009	
5154(29703)::	4:0.009908	
5155(150131)::	4:0.009908	
5156(285156)::	6:0.008533	
5157(116087)::	6:0.034364	8:0.004724	
5158(351274)::	6:0.060769	
5159(93581)::	4:0.004530	
5160(352960)::	4:0.020347	
5161(469234)::	8:0.021924	
5162(148618)::	8:0.030837	
5163(200283)::	8:0.083969	
5164(469315)::	8:0.021844	
5165(332771)::	8:0.034672	
5166(220711)::	8:0.044140	
5167(413733)::	3:0.025943	
5168(546596)::	3:0.015429	11:0.009213	
5169(202068)::	3:0.030693	
5170(250080)::	3:0.031383	
5171(21494)::	7:0.014148	3:0.015014	
5172(70616)::	3:0.031385	
5173(533391)::	4:0.008190	
5174(198625)::	4:0.003192	
5175(277602)::	4:0.025901	
5176(497513)::	4:0.005064	
5177(163351)::	3:0.017591	4:0.050170	
5178(343826)::	8:0.008697	
5179(518955)::	8:0.044140	
5180(522384)::	8:0.124892	
5181(351301)::	6:0.029697	
5182(114540)::	6:0.017255	
5183(187553)::	6:0.017245	
5184(86979)::	6:0.026128	
5185(24118)::	6:0.030366	
5186(439327)::	6:0.012683	
5187(524093)::	6:0.003857	
5188(174414)::	6:0.008339	
5189(150822)::	8:0.003611	
5190(27000)::	7:0.020128	
5191(27830)::	7:0.041088	
5192(538845)::	7:0.010807	8:0.024474	
5193(360520)::	7:0.087465	
5194(320627)::	7:0.019796	
5195(303001)::	7:0.014938	
5196(413657)::	7:0.019977	
5197(510079)::	7:0.019977	
5198(91555)::	7:0.040481	
5199(445812)::	6:0.006853	
5200(293470)::	6:0.006850	
5201(219574)::	6:0.011568	
5202(445813)::	6:0.043900	
5203(405358)::	6:0.030680	
5204(138149)::	6:0.021665	
5205(173634)::	6:0.016361	
5206(155470)::	6:0.030572	
5207(397558)::	6:0.026202	
5208(246603)::	6:0.021843	
5209(127594)::	6:0.021077	
5210(356130)::	6:0.008387	
5211(146918)::	6:0.030502	
5212(429302)::	6:0.039552	
5213(458562)::	6:0.015429	
5214(266557)::	6:0.004396	
5215(266553)::	6:0.228570	
5216(165793)::	6:0.002882	3:0.008191	
5217(359443)::	3:0.041763	
5218(70607)::	3:0.003108	9:0.004359	
5219(26649)::	6:0.011531	
5220(278340)::	6:0.022167	
5221(266546)::	6:0.025329	7:0.026429	
5222(134042)::	6:0.022107	
5223(162817)::	6:0.016395	7:0.010332	
5224(266543)::	6:0.030829	
5225(60982)::	6:0.044193	
5226(60986)::	6:0.070632	
5227(266548)::	6:0.035141	
5228(1920)::	6:0.026503	
5229(289323)::	6:0.017358	
5230(241994)::	6:0.017614	
5231(191173)::	6:0.017515	
5232(272259)::	6:0.029708	
5233(34579)::	6:0.120574	
5234(358970)::	6:0.044015	
5235(340071)::	6:0.026345	
5236(73905)::	6:0.026122	
5237(14165)::	6:0.026296	
5238(469149)::	6:0.080120	
5239(60971)::	6:0.035154	
5240(422657)::	6:0.012908	
5241(142165)::	6:0.008658	
5242(473030)::	6:0.025584	
5243(397564)::	6:0.021981	
5244(266550)::	6:0.070811	
5245(111449)::	6:0.022119	
5246(402201)::	6:0.080160	
5247(266559)::	6:0.004396	
5248(236887)::	6:0.061951	
5249(247690)::	6:0.007188	7:0.017138	
5250(241984)::	6:0.030983	
5251(241988)::	6:0.017520	
5252(137890)::	6:0.030545	
5253(137900)::	6:0.030869	
5254(98082)::	6:0.048629	
5255(149191)::	6:0.039869	
5256(241990)::	6:0.022163	
5257(325392)::	6:0.030413	
5258(481005)::	6:0.026597	
5259(445167)::	6:0.022040	
5260(203737)::	6:0.012919	
5261(251291)::	6:0.072869	7:0.017974	
5262(251297)::	6:0.017392	7:0.004661	
5263(251300)::	6:0.026326	
5264(534086)::	6:0.034724	
5265(209904)::	6:0.013143	
5266(439930)::	6:0.004216	7:0.004498	
5267(86978)::	6:0.013996	7:0.008522	
5268(121728)::	6:0.025841	
5269(139656)::	6:0.008111	
5270(191236)::	6:0.013242	
5271(503111)::	8:0.021658	
5272(503138)::	8:0.026321	
5273(173609)::	8:0.025002	
5274(291557)::	8:0.020778	
5275(364067)::	8:0.012331	
5276(528099)::	8:0.111492	
5277(528173)::	4:0.009471	
5278(62993)::	4:0.009470	
5279(239161)::	4:0.020595	
5280(296294)::	4:0.021138	
5281(232001)::	4:0.037269	
5282(385054)::	3:0.023710	4:0.023596	
5283(51735)::	4:0.037206	
5284(503118)::	3:0.004755	8:0.017322	
5285(323590)::	8:0.012705	
5286(5347)::	8:0.057550	
5287(269247)::	8:0.053113	
5288(280265)::	3:0.030859	
5289(89647)::	8:0.039656	
5290(32589)::	4:0.021032	
5291(458430)::	4:0.020931	
5292(452608)::	4:0.042168	
5293(44001)::	4:0.020904	
5294(228038)::	4:0.020906	
5295(536062)::	6:0.021617	
5296(387197)::	6:0.017062	
5297(1937)::	6:0.075106	
5298(64514)::	6:0.020390	
5299(321945)::	6:0.034540	
5300(150090)::	6:0.016918	
5301(253287)::	7:0.009679	
5302(795)::	7:0.014195	
5303(7629)::	7:0.056624	
5304(262072)::	9:0.019626	8:0.038637	
5305(135252)::	9:0.013546	
5306(121905)::	8:0.053003	
5307(53263)::	8:0.021636	
5308(477771)::	9:0.017491	
5309(218310)::	9:0.025570	8:0.005506	
5310(341887)::	9:0.042501	
5311(54372)::	8:0.080058	
5312(385148)::	8:0.061934	
5313(1561)::	8:0.008564	
5314(86401)::	8:0.017299	
5315(302452)::	9:0.038879	8:0.061114	
5316(433600)::	8:0.024301	9:0.020946	
5317(108392)::	8:0.039382	
5318(78920)::	7:0.019762	
5319(440154)::	7:0.041117	
5320(260934)::	7:0.009627	4:0.020593	
5321(453302)::	7:0.035303	
5322(279472)::	7:0.009633	
5323(209158)::	6:0.021907	
5324(69660)::	6:0.021979	
5325(540357)::	6:0.026509	
5326(98602)::	6:0.020373	
5327(413857)::	6:0.021167	
5328(535419)::	6:0.003574	3:0.004901	
5329(123182)::	6:0.012339	
5330(131494)::	6:0.012338	
5331(425055)::	6:0.012138	
5332(196125)::	8:0.017231	
5333(433586)::	8:0.035094	
5334(152085)::	8:0.026172	
5335(502724)::	8:0.030600	
5336(92962)::	8:0.017195	
5337(196124)::	4:0.015624	
5338(333585)::	4:0.031944	
5339(393071)::	4:0.021192	
5340(322660)::	4:0.032026	
5341(196121)::	6:0.017649	
5342(442718)::	6:0.026693	
5343(102158)::	6:0.329078	
5344(440882)::	6:0.079707	
5345(472478)::	6:0.143040	
5346(196120)::	3:0.015301	
5347(380269)::	3:0.015300	
5348(208595)::	3:0.036754	
5349(380268)::	3:0.031409	
5350(196122)::	9:0.043081	
5351(52194)::	9:0.013636	
5352(223063)::	9:0.014039	
5353(262338)::	9:0.106293	
5354(342135)::	9:0.023997	
5355(383987)::	9:0.077212	
5356(383986)::	9:0.072329	
5357(384000)::	9:0.091630	
5358(171139)::	9:0.033580	
5359(342132)::	9:0.024034	
5360(486164)::	4:0.009251	
5361(124469)::	4:0.009252	
5362(522664)::	4:0.014551	
5363(298029)::	3:0.026011	
5364(302096)::	3:0.020685	
5365(277653)::	3:0.025895	
5366(299901)::	3:0.031273	
5367(428758)::	3:0.026008	
5368(138144)::	3:0.020684	
5369(292049)::	4:0.020857	
5370(541773)::	4:0.020823	
5371(541774)::	4:0.020824	
5372(97194)::	4:0.020741	
5373(478055)::	4:0.031397	
5374(35613)::	8:0.011534	
5375(277322)::	8:0.047626	
5376(405999)::	8:0.061406	
5377(538624)::	8:0.017388	
5378(454613)::	8:0.017370	
5379(219678)::	8:0.079435	
5380(57783)::	6:0.021497	
5381(468407)::	6:0.034441	
5382(292839)::	6:0.021629	
5383(134908)::	6:0.029987	
5384(67643)::	6:0.010536	
5385(292045)::	11:0.008862	
5386(168294)::	11:0.018366	7:0.015072	
5387(57781)::	8:0.008175	
5388(259945)::	8:0.016742	
5389(297031)::	8:0.007355	
5390(253147)::	8:0.007355	
5391(293380)::	8:0.020737	
5392(165864)::	6:0.002898	
5393(467373)::	9:0.004035	6:0.011633	
5394(62085)::	8:0.044381	
5395(458060)::	8:0.044228	
5396(427142)::	8:0.057707	
5397(408841)::	8:0.044311	
5398(282211)::	8:0.048837	
5399(486407)::	8:0.026410	
5400(432905)::	8:0.048803	
5401(51774)::	8:0.026488	
5402(352043)::	8:0.053277	
5403(235294)::	8:0.021930	
5404(352020)::	8:0.022007	
5405(142920)::	3:0.005080	
5406(308697)::	3:0.067753	
5407(142922)::	3:0.009978	
5408(471553)::	3:0.025408	
5409(409774)::	3:0.025090	
5410(117563)::	8:0.021728	
5411(329564)::	8:0.053069	
5412(105585)::	8:0.030478	
5413(43418)::	8:0.026087	
5414(150860)::	8:0.021309	
5415(420450)::	8:0.017329	
5416(142928)::	8:0.021455	
5417(136835)::	8:0.021454	
5418(140639)::	8:0.021378	
5419(12767)::	8:0.017343	
5420(465163)::	8:0.012655	
5421(257634)::	8:0.025885	
5422(56781)::	8:0.003368	
5423(268346)::	8:0.016396	
5424(464256)::	9:0.013837	
5425(16427)::	9:0.018536	
5426(55949)::	9:0.018536	
5427(56785)::	8:0.004240	6:0.011140	
5428(535149)::	6:0.057423	
5429(114825)::	6:0.002828	
5430(17869)::	6:0.012714	
5431(464252)::	4:0.042844	
5432(359456)::	4:0.042794	
5433(241701)::	4:0.021182	
5434(364760)::	4:0.048313	
5435(406611)::	4:0.015849	
5436(522915)::	4:0.032001	
5437(354193)::	4:0.037460	
5438(31152)::	4:0.021155	
5439(31150)::	4:0.053706	
5440(295896)::	6:0.021756	
5441(206308)::	6:0.169215	
5442(375017)::	6:0.030010	
5443(89147)::	6:0.017327	
5444(190741)::	6:0.034570	
5445(70039)::	6:0.021451	
5446(430746)::	3:0.010294	
5447(191283)::	3:0.042302	
5448(364316)::	3:0.047434	
5449(430747)::	3:0.020981	
5450(307334)::	3:0.058292	
5451(500046)::	3:0.067866	
5452(230836)::	3:0.041827	
5453(54442)::	3:0.026042	
5454(431297)::	4:0.005203	6:0.020940	
5455(476275)::	6:0.012746	
5456(439286)::	6:0.003599	
5457(344535)::	6:0.061898	
5458(284814)::	4:0.080487	
5459(217058)::	6:0.093288	
5460(161575)::	6:0.021944	
5461(62926)::	7:0.030553	
5462(161723)::	7:0.056963	
5463(37435)::	7:0.020343	
5464(278638)::	7:0.025634	
5465(161741)::	7:0.014848	
5466(334433)::	7:0.014849	
5467(492799)::	7:0.025226	
5468(498867)::	3:0.009660	
5469(144390)::	3:0.015274	
5470(415370)::	3:0.020594	
5471(431294)::	6:0.004120	7:0.014788	
5472(141752)::	7:0.009224	
5473(517513)::	7:0.055779	
5474(249395)::	7:0.035525	
5475(271554)::	6:0.051708	
5476(25711)::	3:0.004908	
5477(139235)::	3:0.041460	
5478(206943)::	9:0.033510	
5479(453269)::	9:0.043147	
5480(183303)::	9:0.067110	
5481(218571)::	9:0.038153	
5482(50220)::	9:0.019021	
5483(526384)::	9:0.043206	
5484(218570)::	9:0.043227	
5485(468548)::	7:0.020055	
5486(230220)::	7:0.018858	
5487(246196)::	7:0.009520	
5488(348107)::	7:0.036200	
5489(250486)::	7:0.046609	
5490(161319)::	7:0.077948	
5491(250727)::	7:0.046640	
5492(492661)::	7:0.072856	
5493(363324)::	7:0.020556	
5494(238646)::	7:0.020522	
5495(186478)::	7:0.078059	
5496(469246)::	7:0.020424	
5497(225268)::	7:0.057173	
5498(52524)::	7:0.025888	
5499(21874)::	8:0.003354	
5500(34509)::	8:0.016194	
5501(342064)::	7:0.030796	
5502(362155)::	7:0.020328	
5503(113010)::	7:0.030745	
5504(258425)::	7:0.030907	
5505(246062)::	7:0.025612	
5506(264846)::	7:0.035695	
5507(43103)::	7:0.051789	
5508(253822)::	9:0.004193	3:0.003109	
5509(93807)::	3:0.008187	
5510(97697)::	9:0.027945	
5511(153954)::	6:0.030659	
5512(153952)::	6:0.021864	
5513(166605)::	6:0.035137	
5514(533703)::	6:0.035138	
5515(7063)::	6:0.017311	
5516(388509)::	6:0.044121	
5517(97456)::	6:0.017412	
5518(331846)::	6:0.048507	
5519(156655)::	6:0.021359	
5520(272255)::	6:0.030481	
5521(482805)::	6:0.075440	
5522(521081)::	6:0.012195	
5523(96256)::	6:0.007780	
5524(342069)::	4:0.011336	3:0.029438	
5525(470619)::	4:0.053638	
5526(353201)::	3:0.031559	
5527(504195)::	4:0.026465	
5528(506843)::	4:0.011186	3:0.019806	
5529(406837)::	3:0.004727	
5530(454930)::	3:0.004727	
5531(291050)::	3:0.031440	
5532(104756)::	8:0.013369	9:0.004666	
5533(469947)::	9:0.099454	3:0.033228	
5534(72634)::	8:0.183786	
5535(429098)::	6:0.017351	
5536(233362)::	6:0.030097	
5537(482276)::	6:0.021218	
5538(1548)::	6:0.056676	
5539(97510)::	9:0.111365	
5540(88631)::	9:0.014263	
5541(202082)::	9:0.009441	8:0.003344	
5542(150774)::	9:0.007019	
5543(42528)::	9:0.038373	
5544(150737)::	9:0.009633	
5545(337730)::	9:0.033830	
5546(280479)::	9:0.028476	
5547(322730)::	9:0.028602	
5548(252799)::	9:0.038291	
5549(306643)::	9:0.009508	
5550(421701)::	9:0.004749	
5551(103999)::	9:0.038262	
5552(428664)::	9:0.019028	
5553(19576)::	9:0.024063	
5554(110521)::	9:0.024071	
5555(346441)::	9:0.004749	
5556(100494)::	9:0.019258	
5557(78828)::	9:0.019099	
5558(14026)::	9:0.032050	
5559(385433)::	9:0.018540	
5560(35717)::	9:0.062446	
5561(394834)::	9:0.043313	
5562(346953)::	9:0.023659	
5563(486294)::	9:0.033254	
5564(59393)::	9:0.028455	
5565(32682)::	9:0.042779	
5566(331617)::	9:0.023791	
5567(535850)::	9:0.024021	
5568(285350)::	9:0.028723	
5569(186760)::	9:0.014174	
5570(293187)::	3:0.047359	
5571(315456)::	3:0.031633	
5572(3898)::	3:0.036558	
5573(218980)::	9:0.018476	
5574(499885)::	9:0.013400	
5575(389184)::	9:0.023689	
5576(423649)::	9:0.023750	
5577(312658)::	9:0.033351	
5578(29335)::	9:0.072162	
5579(409386)::	9:0.028570	
5580(312657)::	9:0.043061	
5581(312722)::	9:0.038274	
5582(308943)::	7:0.015236	
5583(48190)::	7:0.061976	
5584(73695)::	7:0.025627	
5585(308940)::	4:0.015529	
5586(18746)::	4:0.026172	
5587(484474)::	4:0.042256	
5588(308939)::	4:0.015528	
5589(308941)::	4:0.010405	
5590(75523)::	4:0.031925	
5591(497134)::	7:0.009920	3:0.004998	
5592(218555)::	7:0.050949	
5593(220681)::	4:0.004842	7:0.024868	
5594(68030)::	3:0.051951	
5595(346959)::	6:0.021276	
5596(172153)::	6:0.016994	
5597(155130)::	6:0.012584	
5598(179493)::	6:0.017346	
5599(332854)::	6:0.017290	
5600(252631)::	6:0.025288	
5601(184001)::	6:0.021413	
5602(310924)::	6:0.017022	
5603(242244)::	6:0.003749	
5604(311696)::	6:0.016934	
5605(508508)::	6:0.017022	
5606(274533)::	6:0.021412	
5607(204603)::	4:0.021139	
5608(397463)::	4:0.037306	
5609(153110)::	4:0.042725	
5610(400498)::	4:0.015274	
5611(473042)::	4:0.037542	
5612(26065)::	8:0.004315	
5613(92067)::	9:0.038013	
5614(497211)::	9:0.004553	6:0.004256	
5615(150373)::	9:0.004553	
5616(486687)::	9:0.009313	
5617(195430)::	9:0.023790	
5618(152656)::	9:0.013690	7:0.010169	
5619(26063)::	8:0.003604	
5620(312493)::	8:0.020803	
5621(481307)::	9:0.013613	
5622(230157)::	9:0.013057	
5623(2571)::	9:0.018125	
5624(13622)::	9:0.042883	
5625(141472)::	
5626(58659)::	
5627(53795)::	
5628(127527)::	
5629(391654)::	
5630(358538)::	
5631(481308)::	9:0.001442	8:0.020169	
5632(263642)::	8:0.009850	9:0.064415	
5633(75516)::	8:0.025621	9:0.001063	
5634(288003)::	8:0.020132	9:0.001466	
5635(527539)::	8:0.016917	
5636(159008)::	8:0.012624	
5637(398344)::	8:0.012745	
5638(430889)::	8:0.021603	
5639(342003)::	8:0.026172	
5640(167798)::	6:0.002777	
5641(44075)::	6:0.010810	
5642(167799)::	7:0.083241	
5643(468336)::	7:0.036231	
5644(74782)::	7:0.025814	
5645(842)::	7:0.020608	
5646(222128)::	7:0.046608	
5647(97874)::	7:0.030913	
5648(502776)::	7:0.030943	
5649(13095)::	7:0.025704	
5650(167806)::	7:0.031013	
5651(93617)::	7:0.067563	
5652(167802)::	7:0.030932	
5653(13123)::	7:0.036139	
5654(167801)::	7:0.020536	
5655(13121)::	7:0.025762	
5656(446488)::	7:0.020497	
5657(167811)::	7:0.046615	
5658(502824)::	7:0.041439	
5659(118075)::	9:0.023304	3:0.000333	
5660(142785)::	3:0.047668	
5661(404805)::	3:0.042271	
5662(38294)::	9:0.010015	3:0.015092	
5663(459988)::	9:0.033214	
5664(192815)::	3:0.026356	
5665(192814)::	3:0.031707	
5666(208014)::	3:0.031708	
5667(168284)::	3:0.026402	
5668(336068)::	3:0.010271	
5669(521629)::	3:0.031462	
5670(521627)::	3:0.042391	
5671(292873)::	3:0.021021	
5672(521634)::	3:0.031633	
5673(428696)::	7:0.051463	
5674(529776)::	7:0.046605	
5675(529772)::	7:0.083135	
5676(64852)::	7:0.020431	
5677(540737)::	7:0.056826	
5678(97992)::	7:0.046165	
5679(406608)::	7:0.015313	
5680(214699)::	7:0.030803	
5681(11966)::	7:0.004878	6:0.021517	
5682(381254)::	7:0.030996	
5683(217083)::	7:0.020498	
5684(64945)::	8:0.004747	3:0.009201	
5685(273392)::	8:0.005528	9:0.004461	7:0.004899	3:0.012894	
5686(262976)::	8:0.033661	
5687(455354)::	9:0.009578	
5688(250287)::	9:0.159615	
5689(124345)::	9:0.130577	
5690(329178)::	4:0.014385	
5691(190856)::	6:0.004049	4:0.004155	7:0.004302	
5692(152300)::	4:0.030684	
5693(279494)::	4:0.015278	
5694(418923)::	4:0.016016	
5695(523717)::	4:0.124123	
5696(441908)::	4:0.042756	
5697(344485)::	4:0.064587	
5698(240658)::	9:0.042874	
5699(420634)::	9:0.028545	
5700(401176)::	9:0.018946	
5701(120954)::	9:0.018888	
5702(402061)::	9:0.038077	
5703(543073)::	9:0.014064	
5704(165444)::	9:0.047837	
5705(542046)::	9:0.023703	
5706(498725)::	9:0.014065	
5707(167426)::	6:0.006836	
5708(139762)::	6:0.011404	
5709(485348)::	6:0.006836	
5710(199347)::	4:0.048344	
5711(160779)::	4:0.026421	
5712(215787)::	4:0.026709	
5713(528034)::	4:0.032106	
5714(157162)::	4:0.031888	
5715(63930)::	4:0.032113	
5716(51750)::	4:0.053777	
5717(14035)::	4:0.026742	
5718(426163)::	4:0.026708	
5719(62208)::	4:0.042933	
5720(232226)::	8:0.021217	
5721(322577)::	8:0.008180	
5722(279670)::	8:0.014348	9:0.050895	
5723(268980)::	8:0.048244	
5724(465662)::	8:0.012767	9:0.004365	
5725(335697)::	8:0.021546	
5726(508723)::	8:0.003755	
5727(279126)::	8:0.025089	
5728(508724)::	3:0.025839	
5729(242909)::	3:0.031275	
5730(198599)::	3:0.015446	
5731(494536)::	3:0.020700	
5732(130800)::	3:0.010231	
5733(422120)::	9:0.019051	
5734(430779)::	9:0.033505	
5735(500085)::	9:0.037848	
5736(534606)::	9:0.091638	
5737(435706)::	9:0.091915	
5738(209971)::	4:0.008794	
5739(53952)::	8:0.026492	
5740(242888)::	8:0.035341	
5741(50257)::	8:0.021992	
5742(152302)::	8:0.080140	
5743(519479)::	8:0.044264	
5744(234161)::	8:0.071126	
5745(56113)::	8:0.066542	
5746(53951)::	4:0.015157	
5747(461169)::	4:0.009651	
5748(354580)::	4:0.048260	
5749(403603)::	4:0.015156	
5750(472840)::	4:0.021559	
5751(377618)::	4:0.075392	
5752(442433)::	4:0.053880	
5753(53957)::	9:0.004420	
5754(450205)::	9:0.042705	
5755(101982)::	8:0.030383	3:0.005211	
5756(402581)::	8:0.025978	
5757(333282)::	8:0.025447	7:0.004908	
5758(474248)::	8:0.030456	
5759(107743)::	8:0.016826	
5760(44030)::	8:0.012274	
5761(85068)::	3:0.127503	
5762(231554)::	8:0.012275	
5763(110681)::	8:0.017294	
5764(379622)::	8:0.017341	
5765(291786)::	8:0.048144	
5766(441564)::	8:0.021769	
5767(517744)::	8:0.026179	
5768(275604)::	8:0.035035	
5769(479818)::	9:0.003822	
5770(99492)::	9:0.017869	7:0.005111	
5771(44422)::	9:0.008834	
5772(114027)::	7:0.006408	9:0.053894	
5773(393103)::	9:0.012590	
5774(535306)::	6:0.016646	
5775(112356)::	6:0.039058	
5776(361621)::	6:0.012257	
5777(288092)::	6:0.021021	
5778(529254)::	6:0.008049	
5779(105407)::	6:0.011570	
5780(81638)::	6:0.012001	
5781(137164)::	6:0.007363	
5782(500541)::	6:0.011569	
5783(535304)::	9:0.028505	
5784(433642)::	9:0.018868	
5785(360186)::	9:0.062637	
5786(50240)::	9:0.023221	4:0.005344	
5787(412137)::	9:0.090849	
5788(164095)::	9:0.014173	6:0.003869	
5789(71330)::	8:0.012394	
5790(247251)::	8:0.016938	
5791(246713)::	8:0.008210	
5792(74317)::	9:0.013296	
5793(112869)::	9:0.013050	
5794(167189)::	9:0.018233	
5795(462810)::	9:0.013578	
5796(511632)::	7:0.020400	
5797(55840)::	11:0.028862	
5798(372631)::	8:0.026155	
5799(194100)::	8:0.017219	
5800(20879)::	8:0.039429	
5801(372634)::	8:0.026103	
