0(228055): 
1(521702): 6(0.152719), 
7839(81627): 7(0.026659), 
7840(389132): 
7841(110592): 1(0.047384), 
7842(258547): 1(0.021759), 
7843(330622): 
7844(5580): 1(0.047491), 
7845(345559): 1(0.017650), 
7846(164350): 1(0.084913), 
7847(398535): 1(0.017711), 
7848(192347): 
7849(347618): 
7850(468896): 7(0.034757), 
7851(128447): 7(0.049291), 
7852(193456): 7(0.041832), 
7853(162140): 7(0.055994), 
7854(442415): 7(0.034737), 
7855(414799): 6(0.020691), 
7856(138342): 6(0.048238), 
7857(315850): 6(0.111527), 
7858(481666): 6(0.216305), 
7859(414798): 
7860(374492): 
7861(381449): 1(0.017836), 
7862(468899): 3(0.027344), 
7863(471934): 3(0.082571), 
7864(443506): 3(0.089275), 
7865(81555): 3(0.068299), 
7866(350387): 1(0.035996), 
7867(262145): 1(0.023985), 
7868(141328): 1(0.060639), 
7869(537173): 1(0.023871), 
7870(395939): 1(0.035539), 
7871(463715): 0(0.017292), 
7872(356452): 
7873(439431): 
7874(232096): 7(0.211156), 
7875(396420): 
7876(147638): 7(0.020053), 
7877(151111): 1(0.023603), 
7878(238407): 1(0.017506), 
7879(484373): 1(0.041554), 
7880(375908): 0(0.080158), 
7881(218258): 
7882(392212): 2(0.036356), 
7883(497888): 2(0.029210), 
7884(376127): 2(0.029209), 
7885(323863): 2(0.021690), 
7886(469358): 2(0.029216), 
7887(525381): 2(0.029212), 
7888(275655): 2(0.029214), 
7889(482620): 2(0.029210), 
7890(361457): 2(0.029212), 
7891(28650): 2(0.029210), 
7892(176574): 2(0.029216), 
7893(318622): 4(0.014290), 
7894(355230): 6(0.085647), 
7895(238456): 6(0.041437), 
7896(404491): 3(0.020188), 
7897(216310): 6(0.027558), 
7898(173231): 
7899(345380): 6(0.055370), 
7900(426059): 6(0.027503), 
7901(505825): 3(0.019368), 6(0.040462), 
7902(88148): 3(0.017444), 
7903(203075): 6(0.020419), 
7904(448361): 6(0.027622), 
7905(515409): 3(0.028128), 6(0.046300), 
7906(469417): 4(0.042932), 
7907(494253): 4(0.093464), 
7908(273473): 4(0.035778), 
7909(274269): 4(0.107485), 
7910(298955): 4(0.064515), 
7911(191062): 4(0.035682), 
7912(330128): 3(0.027253), 
7913(6337): 3(0.089109), 
7914(382736): 3(0.061297), 
7915(141866): 3(0.123248), 
7916(127072): 1(0.035848), 
7917(102391): 1(0.042487), 
7918(77739): 1(0.035723), 
7919(534906): 1(0.023646), 
7920(387967): 1(0.023506), 
7921(355239): 7(0.020641), 
7922(507853): 1(0.036028), 
7923(176780): 1(0.054359), 
7924(477044): 1(0.030046), 
7925(394483): 1(0.042167), 
7926(270404): 1(0.023846), 
7927(449845): 1(0.066487), 
7928(263962): 
7929(415659): 0(0.032116), 
7930(323304): 7(0.047724), 
7931(258171): 2(0.056761), 
7932(313042): 
7933(77618): 
7934(382106): 2(0.042787), 
7935(147623): 2(0.109570), 
7936(440623): 2(0.021233), 
7937(220210): 2(0.043561), 
7938(432593): 
7939(414247): 3(0.026345), 
7940(323422): 
7941(331631): 3(0.033960), 
7942(262198): 3(0.021809), 
7943(90153): 3(0.116959), 
7944(190822): 1(0.023529), 
7945(446985): 1(0.022825), 
7946(442406): 1(0.029705), 
7947(170781): 1(0.047413), 
7948(273795): 1(0.047788), 
7949(190826): 6(0.027268), 
7950(16756): 6(0.076007), 
7951(128738): 6(0.054885), 
7952(262452): 6(0.027267), 
7953(3620): 3(0.095466), 
7954(267716): 3(0.040517), 
7955(42555): 3(0.034217), 
7956(221475): 4(0.014083), 
7957(302982): 3(0.026972), 
7958(382956): 
7959(12603): 3(0.033754), 
7960(7694): 1(0.023914), 
7961(130590): 1(0.029812), 
7962(2023): 1(0.030207), 
7963(535754): 1(0.030377), 
7964(374421): 1(0.023295), 
7965(167713): 
7966(254511): 2(0.146799), 
7967(447975): 0(0.026603), 
7968(188835): 0(0.080762), 
7969(292622): 0(0.060474), 
7970(384971): 0(0.033392), 
7971(348548): 3(0.015405), 6(0.037839), 7(0.034974), 
7972(391027): 6(0.020622), 
7973(410730): 6(0.013593), 
7974(302323): 7(0.033121), 
7975(403152): 7(0.040512), 
7976(374439): 7(0.027554), 
7977(476328): 6(0.016254), 7(0.053156), 
7978(488500): 3(0.019568), 
7979(383309): 3(0.015664), 
7980(122417): 7(0.054521), 
7981(92772): 
7982(282318): 6(0.027106), 
7983(365793): 6(0.033943), 
7984(47347): 6(0.040857), 
7985(53681): 6(0.040856), 
7986(98335): 6(0.027106), 
7987(282319): 4(0.028027), 
7988(334758): 4(0.028007), 
7989(2054): 4(0.035156), 
7990(160329): 4(0.027822), 
7991(57701): 0(0.025869), 
7992(245063): 0(0.023122), 1(0.019993), 
7993(390280): 0(0.019270), 
7994(137907): 0(0.026010), 
7995(180468): 0(0.045977), 
7996(118101): 4(0.027900), 
7997(271391): 4(0.027896), 
7998(455428): 4(0.028069), 
7999(114654): 4(0.056773), 
8000(451934): 4(0.021214), 
8001(160633): 4(0.035577), 
8002(440983): 4(0.092565), 
8003(245143): 4(0.035204), 
8004(64665): 4(0.021214), 
8005(35794): 4(0.021215), 
8006(450636): 4(0.078583), 
8007(65987): 4(0.021205), 
8008(533734): 
8009(204185): 7(0.041647), 
8010(299311): 7(0.020876), 
8011(167995): 7(0.041436), 
8012(216771): 7(0.027000), 
8013(186628): 7(0.034467), 
8014(106378): 
8015(131033): 
8016(301317): 
8017(304141): 7(0.034812), 
8018(518685): 7(0.041808), 
8019(6945): 7(0.076765), 
8020(380969): 7(0.048571), 
8021(60112): 
8022(209340): 6(0.033154), 
8023(496758): 
8024(262617): 3(0.061421), 
8025(517595): 3(0.096172), 
8026(358202): 3(0.027386), 
8027(275742): 3(0.020362), 
8028(265497): 
8029(490954): 3(0.024528), 
8030(441117): 3(0.027393), 
8031(360478): 2(0.021656), 
8032(294613): 2(0.029204), 
8033(518522): 
8034(113027): 
8035(121878): 
8036(197248): 3(0.017453), 
8037(24849): 
8038(211432): 3(0.043032), 7(0.059333), 
8039(284212): 1(0.023807), 
8040(94010): 1(0.023687), 
8041(349751): 4(0.036141), 
8042(134839): 3(0.014608), 7(0.026466), 
8043(502361): 3(0.014320), 7(0.040305), 
8044(465933): 7(0.033941), 
8045(414463): 7(0.026991), 
8046(369144): 3(0.053445), 
8047(429768): 3(0.020128), 
8048(235093): 3(0.040561), 
8049(2469): 2(0.057876), 
8050(331689): 2(0.021355), 
8051(148053): 2(0.028719), 
8052(275973): 2(0.057862), 
8053(261181): 2(0.028713), 
8054(443281): 2(0.035902), 
8055(292915): 2(0.035825), 
8056(338132): 2(0.065362), 
8057(218991): 2(0.028504), 
8058(191064): 7(0.027401), 
8059(435955): 7(0.034585), 
8060(452109): 7(0.034381), 
8061(324501): 7(0.062112), 
8062(59394): 6(0.015497), 7(0.033101), 
8063(101143): 4(0.042934), 
8064(492010): 7(0.041530), 
8065(323473): 7(0.034557), 
8066(274056): 7(0.013540), 
8067(351557): 3(0.017766), 
8068(469350): 3(0.040830), 
8069(172208): 3(0.034224), 
8070(283128): 3(0.027337), 
8071(345632): 3(0.027346), 
8072(293648): 3(0.033844), 
8073(57595): 3(0.124410), 
8074(140982): 3(0.034224), 
8075(21495): 
8076(353361): 7(0.027552), 
8077(150263): 7(0.048749), 
8078(84877): 7(0.048726), 
8079(447544): 
8080(265403): 
8081(67254): 0(0.026045), 
8082(351058): 0(0.026731), 
8083(249812): 0(0.033211), 
8084(452331): 
8085(274811): 4(0.093438), 
8086(151164): 4(0.014079), 
8087(103144): 4(0.028783), 
8088(21465): 4(0.028497), 
8089(537659): 4(0.035748), 
8090(201929): 4(0.028632), 
8091(293710): 
8092(412090): 0(0.023564), 
8093(294567): 4(0.013513), 
8094(381333): 2(0.013840), 4(0.027710), 
8095(473249): 
8096(536720): 
8097(294568): 2(0.050740), 
8098(22494): 2(0.028769), 
8099(444047): 2(0.147068), 
8100(245742): 2(0.036169), 
8101(388997): 2(0.029059), 
8102(369340): 2(0.021703), 
8103(265502): 2(0.036447), 
8104(458224): 
8105(97228): 
8106(266119): 2(0.029174), 
8107(402817): 2(0.028731), 
8108(386873): 4(0.014319), 
8109(481339): 2(0.021590), 
8110(138752): 2(0.029240), 
8111(136757): 
8112(49583): 2(0.050638), 
8113(456666): 2(0.014475), 
8114(517469): 
8115(241437): 7(0.026900), 
8116(493790): 7(0.019859), 
8117(102289): 2(0.042423), 
8118(200756): 2(0.035725), 
8119(507000): 2(0.021163), 
8120(99983): 2(0.028549), 
8121(138185): 2(0.042411), 
8122(335615): 2(0.035712), 
8123(174665): 
8124(102288): 
8125(309695): 3(0.032455), 
8126(517464): 2(0.036722), 
8127(278797): 6(0.034730), 
8128(254498): 6(0.020140), 
8129(36993): 1(0.024079), 
8130(526087): 1(0.103939), 
8131(317948): 1(0.054465), 
8132(535459): 1(0.060704), 
8133(107425): 6(0.027343), 
8134(524323): 6(0.027350), 
8135(231988): 6(0.020563), 
8136(107422): 3(0.034123), 
8137(512248): 3(0.214845), 
8138(207980): 3(0.123966), 
8139(303254): 3(0.068022), 
8140(398704): 3(0.036618), 
8141(485902): 3(0.034184), 
8142(475375): 4(0.063179), 
8143(118608): 2(0.013608), 
8144(150042): 4(0.042067), 
8145(443201): 4(0.027971), 
8146(31346): 4(0.035355), 
8147(389958): 4(0.025945), 
8148(301460): 4(0.035239), 
8149(12978): 4(0.013798), 
8150(447170): 
8151(200843): 4(0.013797), 
8152(194582): 0(0.019916), 
8153(186515): 0(0.059457), 
8154(302664): 6(0.026622), 
8155(173249): 6(0.097759), 
8156(315249): 4(0.014230), 
8157(265393): 
8158(297769): 
8159(528001): 2(0.020675), 
8160(376572): 
8161(449508): 0(0.044101), 
8162(187510): 4(0.013849), 
8163(188493): 7(0.089797), 
8164(374033): 3(0.013719), 4(0.027006), 
8165(441981): 
8166(187514): 
8167(339270): 4(0.018299), 
8168(105487): 
8169(341189): 3(0.040709), 
8170(502846): 3(0.073250), 
8171(3216): 3(0.047632), 
8172(387196): 3(0.020205), 
8173(538990): 3(0.088976), 
8174(416722): 3(0.020124), 
8175(476544): 3(0.027375), 
8176(460889): 3(0.075305), 
8177(295386): 
8178(382418): 4(0.026837), 
8179(301402): 6(0.027889), 7(0.047315), 
8180(295381): 7(0.020869), 
8181(274395): 3(0.014392), 
8182(437222): 0(0.018786), 
8183(120038): 0(0.039827), 
8184(47187): 0(0.019786), 
8185(121305): 0(0.034783), 
8186(436831): 0(0.046635), 
8187(517439): 
8188(77809): 3(0.031180), 
8189(247866): 3(0.019173), 
8190(78190): 7(0.013580), 
8191(54937): 0(0.080334), 
8192(316622): 1(0.027384), 
8193(482679): 7(0.035029), 
8194(253421): 7(0.027987), 
8195(745): 7(0.042014), 
8196(528049): 7(0.027984), 
8197(55881): 7(0.035064), 
8198(52162): 7(0.035061), 
8199(406306): 7(0.034927), 
8200(58425): 7(0.035036), 
8201(329138): 7(0.056051), 
8202(333477): 7(0.091112), 
8203(96932): 7(0.077220), 
8204(378226): 7(0.035038), 
8205(416772): 2(0.023820), 3(0.058517), 
8206(223511): 2(0.034578), 
8207(467998): 
8208(132187): 2(0.035949), 
8209(172784): 2(0.035944), 
8210(481812): 1(0.017559), 
8211(258659): 1(0.060067), 
8212(521607): 1(0.065746), 
8213(10144): 1(0.023055), 
8214(67230): 2(0.036714), 
8215(25025): 2(0.117268), 
8216(481819): 4(0.028883), 
8217(67236): 0(0.017449), 
8218(498292): 0(0.038736), 
8219(213255): 
8220(320431): 0(0.018465), 
8221(265934): 4(0.021423), 
8222(217113): 4(0.071761), 
8223(340013): 0(0.079986), 
8224(265930): 0(0.019808), 
8225(297943): 0(0.019258), 
8226(275360): 2(0.117159), 
8227(355212): 2(0.058312), 
8228(359961): 2(0.080439), 
8229(424755): 2(0.050477), 
8230(344039): 2(0.036362), 
8231(535076): 2(0.021666), 
8232(355584): 2(0.036322), 
8233(217666): 2(0.080495), 
8234(449175): 
8235(127494): 2(0.161279), 
8236(383840): 2(0.050533), 
8237(448597): 2(0.058274), 
8238(12800): 2(0.095236), 
8239(431706): 2(0.051203), 
8240(147208): 2(0.050692), 
8241(171855): 2(0.050980), 
8242(497474): 2(0.036468), 
8243(157470): 6(0.062075), 
8244(421126): 2(0.044937), 3(0.077842), 6(0.065161), 
8245(312065): 6(0.090224), 
8246(384389): 6(0.030889), 
8247(388768): 6(0.083181), 
8248(255222): 6(0.020470), 
8249(504945): 0(0.019760), 6(0.026591), 
8250(432701): 6(0.076662), 
8251(127053): 0(0.061517), 6(0.025395), 
8252(493087): 0(0.039316), 
8253(220963): 
8254(330992): 
8255(536896): 
8256(334075): 6(0.096962), 
8257(170296): 3(0.025849), 7(0.019768), 
8258(316133): 2(0.014624), 3(0.059352), 
8259(249450): 6(0.027107), 
8260(197054): 
8261(76048): 0(0.169971), 
8262(178162): 0(0.033905), 
8263(404174): 0(0.033504), 
8264(225523): 0(0.033714), 
8265(190105): 0(0.039950), 
8266(69875): 0(0.053907), 
8267(352097): 0(0.026778), 
8268(457728): 0(0.033707), 
8269(277276): 0(0.040404), 
8270(538305): 0(0.033719), 
8271(211475): 0(0.025762), 
8272(97806): 0(0.114793), 
8273(92222): 0(0.019877), 
8274(116800): 0(0.019872), 
8275(408346): 0(0.027055), 
8276(446102): 0(0.026274), 
8277(396040): 0(0.033916), 
8278(356132): 0(0.026870), 
8279(101539): 0(0.246465), 
8280(423882): 0(0.033768), 
8281(380275): 
8282(30861): 1(0.022310), 
8283(364270): 
8284(445378): 0(0.024754), 
8285(339097): 
8286(176751): 
8287(359696): 7(0.034879), 
8288(477427): 7(0.077104), 
8289(229590): 7(0.048944), 
8290(19494): 7(0.055219), 
8291(433382): 7(0.077172), 
8292(471997): 7(0.112526), 
8293(30279): 
8294(471136): 1(0.035975), 
8295(109338): 1(0.029890), 
8296(142286): 1(0.035927), 
8297(307112): 1(0.029837), 
8298(287220): 4(0.050417), 
8299(127111): 4(0.035498), 
8300(192933): 4(0.021095), 
8301(9717): 1(0.050836), 
8302(263575): 0(0.039518), 
8303(300646): 0(0.025932), 
8304(121522): 0(0.026053), 
8305(279062): 0(0.026054), 
8306(238003): 0(0.026046), 
8307(22740): 0(0.026044), 
8308(263571): 3(0.054534), 
8309(161981): 3(0.034079), 
8310(145967): 3(0.040846), 
8311(196208): 3(0.061617), 
8312(27968): 3(0.026669), 
8313(210716): 3(0.102606), 
8314(209089): 3(0.033943), 
8315(472533): 7(0.027834), 
8316(192759): 7(0.048600), 
8317(472535): 6(0.034615), 
8318(430818): 6(0.076639), 
8319(88482): 6(0.133164), 
8320(421876): 6(0.048573), 
8321(479038): 6(0.048517), 
8322(153598): 6(0.062634), 
8323(541178): 3(0.034170), 
8324(221881): 3(0.041110), 
8325(178): 3(0.034208), 
8326(483715): 4(0.020753), 
8327(268894): 4(0.041958), 
8328(138549): 4(0.027467), 
8329(141067): 4(0.040744), 
8330(132298): 
8331(329408): 1(0.028663), 
8332(72859): 0(0.021070), 1(0.039931), 
8333(79240): 7(0.027099), 
8334(312066): 2(0.027781), 
8335(30585): 0(0.086886), 
8336(294778): 2(0.020425), 
8337(516772): 7(0.034412), 
8338(345991): 
8339(220803): 
8340(193157): 7(0.018699), 
8341(382552): 3(0.033561), 
8342(248748): 3(0.026831), 
8343(112193): 3(0.054460), 
8344(440573): 2(0.030560), 3(0.018641), 
8345(531454): 3(0.068278), 
8346(39370): 3(0.026928), 
8347(170766): 1(0.054104), 
8348(532356): 1(0.029462), 
8349(416068): 1(0.028478), 
8350(89319): 1(0.047689), 
8351(422824): 1(0.017624), 
8352(175679): 1(0.041105), 
8353(464490): 4(0.028597), 
8354(99224): 4(0.014133), 
8355(49621): 4(0.014136), 
8356(342011): 4(0.014133), 
8357(158823): 4(0.027138), 
8358(287871): 4(0.014136), 
8359(109332): 4(0.056779), 
8360(46422): 4(0.035558), 
8361(309679): 4(0.021290), 
8362(520893): 4(0.028331), 
8363(143571): 
8364(484532): 2(0.018703), 
8365(216245): 2(0.019729), 
8366(111852): 1(0.024130), 
8367(343843): 1(0.060184), 
8368(156919): 1(0.029908), 
8369(143574): 7(0.033148), 
8370(118917): 7(0.033881), 
8371(49478): 7(0.019869), 
8372(403150): 7(0.026852), 
8373(215592): 
8374(143791): 7(0.019864), 
8375(115535): 1(0.024202), 
8376(312659): 1(0.121419), 
8377(129918): 1(0.065825), 
8378(221571): 1(0.103390), 
8379(143346): 1(0.103000), 
8380(143577): 6(0.027733), 
8381(68003): 6(0.076402), 
8382(404368): 4(0.042478), 6(0.062508), 
8383(43226): 6(0.090087), 
8384(519267): 4(0.042698), 
8385(108021): 4(0.070944), 
8386(522282): 4(0.035116), 
8387(539943): 4(0.049161), 
8388(468826): 4(0.019618), 
8389(322738): 4(0.034659), 
8390(31541): 3(0.013503), 4(0.027014), 
8391(52510): 4(0.028216), 
8392(361672): 3(0.081570), 
8393(489195): 4(0.084586), 
8394(297328): 4(0.033871), 6(0.013859), 
8395(394370): 3(0.116596), 
8396(502129): 2(0.035135), 
8397(321888): 
8398(398887): 2(0.034915), 
8399(497920): 2(0.049262), 
8400(370628): 3(0.026882), 
8401(41415): 3(0.032892), 
8402(120387): 3(0.173364), 
8403(520042): 3(0.026902), 
8404(538017): 3(0.039893), 
8405(185202): 4(0.021223), 7(0.013591), 
8406(222028): 7(0.062606), 
8407(80311): 4(0.100821), 
8408(385073): 7(0.062273), 
8409(330607): 1(0.028703), 
8410(259500): 
8411(205288): 1(0.028690), 
8412(190609): 1(0.023362), 
8413(348560): 
8414(266892): 1(0.022864), 
8415(295174): 3(0.068175), 
8416(301231): 3(0.034321), 
8417(70857): 3(0.027271), 
8418(105236): 
8419(259630): 3(0.033851), 
8420(234802): 3(0.027269), 
8421(430790): 
8422(286836): 3(0.075545), 
8423(435581): 6(0.026959), 
8424(301051): 6(0.040883), 
8425(306420): 6(0.034614), 
8426(211444): 6(0.034587), 
8427(279463): 2(0.026509), 
8428(475846): 2(0.013448), 
8429(86940): 2(0.027654), 
8430(248843): 
8431(430658): 2(0.013450), 
8432(234522): 
8433(440760): 0(0.039805), 
8434(441614): 0(0.016595), 1(0.015038), 
8435(373372): 0(0.033844), 1(0.041511), 
8436(360363): 1(0.053766), 
8437(455049): 0(0.154519), 
8438(511171): 6(0.027376), 
8439(236132): 2(0.028196), 6(0.027217), 
8440(89969): 6(0.096348), 
8441(140175): 1(0.023969), 
8442(210178): 1(0.029733), 
8443(242137): 1(0.078338), 
8444(23451): 7(0.034952), 
8445(519656): 7(0.104487), 
8446(309245): 7(0.055947), 
8447(76959): 
8448(443735): 0(0.059571), 
8449(28103): 0(0.018704), 
8450(511474): 3(0.082624), 
8451(523262): 3(0.143909), 
8452(527525): 3(0.054221), 
8453(277325): 3(0.019010), 
8454(403765): 1(0.042423), 
8455(362193): 1(0.030039), 
8456(401401): 1(0.048591), 
8457(524537): 1(0.036311), 
8458(73521): 2(0.028707), 
8459(480505): 2(0.057996), 
8460(25450): 2(0.036345), 
8461(353470): 2(0.028474), 
8462(194803): 
8463(205889): 
8464(194808): 4(0.100025), 
8465(79405): 4(0.028249), 
8466(144683): 4(0.121824), 
8467(503546): 4(0.050027), 
8468(52197): 2(0.033258), 4(0.016632), 
8469(187002): 4(0.020910), 
8470(489569): 4(0.027339), 
8471(464076): 
8472(28459): 4(0.048750), 
8473(59431): 2(0.018482), 
8474(189836): 4(0.035309), 
8475(253443): 4(0.020684), 
8476(213987): 4(0.042926), 
8477(32271): 4(0.027957), 
8478(74554): 4(0.020572), 
8479(206957): 4(0.028221), 
8480(392547): 2(0.020852), 
8481(49339): 2(0.079178), 
8482(374650): 2(0.020894), 
8483(34761): 2(0.020980), 
8484(515413): 0(0.019302), 
8485(58706): 0(0.025830), 
8486(181772): 0(0.032630), 
8487(515668): 0(0.039573), 
8488(328474): 4(0.078754), 
8489(374984): 4(0.028478), 
8490(217771): 4(0.071173), 
8491(342174): 4(0.021147), 
8492(391828): 4(0.035691), 
8493(121080): 4(0.049969), 
8494(266284): 4(0.064323), 
8495(377742): 4(0.026610), 
8496(232083): 4(0.028440), 
8497(6207): 4(0.028478), 
8498(509035): 4(0.028425), 
8499(520819): 
8500(202698): 1(0.071755), 
8501(469343): 1(0.114535), 
8502(328476): 
8503(11922): 4(0.047946), 
8504(6126): 
8505(315372): 3(0.081744), 
8506(287436): 2(0.019843), 
8507(139549): 2(0.043912), 
8508(469017): 2(0.146881), 
8509(76505): 2(0.161781), 
8510(139181): 2(0.146992), 
8511(498003): 2(0.154095), 
8512(282112): 2(0.036518), 
8513(6128): 2(0.020675), 
8514(368994): 2(0.043485), 
8515(291830): 2(0.042367), 
8516(123382): 
8517(423594): 
8518(372661): 0(0.026574), 
8519(230454): 0(0.045909), 
8520(303843): 0(0.039002), 
8521(397066): 0(0.046585), 
8522(396399): 4(0.020363), 
8523(136578): 
8524(423632): 4(0.063963), 
8525(47108): 4(0.034878), 
8526(500945): 7(0.041544), 
8527(194762): 6(0.034140), 
8528(97709): 
8529(86312): 6(0.026957), 
8530(125769): 3(0.047790), 
8531(475177): 3(0.102596), 
8532(61758): 3(0.047671), 
8533(312456): 3(0.033491), 
8534(342074): 3(0.040670), 
8535(450815): 3(0.026762), 
8536(496123): 3(0.053872), 
8537(38443): 2(0.035046), 
8538(191308): 0(0.058576), 
8539(442527): 0(0.019689), 
8540(271827): 
8541(440814): 0(0.059995), 
8542(473813): 0(0.026642), 
8543(421038): 0(0.033391), 
8544(269858): 0(0.026610), 
8545(523543): 2(0.042478), 
8546(391821): 2(0.014217), 
8547(343610): 4(0.013743), 6(0.027020), 
8548(475842): 2(0.028751), 
8549(523546): 
8550(49923): 3(0.081701), 
8551(463876): 
8552(454212): 6(0.040912), 
8553(453400): 3(0.044153), 6(0.065695), 
8554(326204): 6(0.034351), 
8555(333920): 6(0.041273), 
8556(238175): 3(0.017055), 
8557(541088): 6(0.038902), 
8558(330154): 6(0.041275), 
8559(331551): 6(0.020588), 
8560(432418): 6(0.020433), 
8561(538952): 6(0.027828), 
8562(358755): 
8563(65607): 6(0.048058), 
8564(151673): 6(0.013591), 
8565(363882): 6(0.027145), 
8566(362757): 6(0.013678), 
8567(265780): 6(0.054629), 
8568(490329): 6(0.034204), 
8569(456522): 6(0.013550), 
8570(16174): 6(0.013677), 
8571(290762): 6(0.020438), 
8572(457092): 2(0.028726), 
8573(61377): 2(0.043233), 
8574(481103): 2(0.043093), 
8575(36862): 2(0.057791), 
8576(32616): 2(0.050369), 
8577(135823): 
8578(349673): 3(0.039851), 
8579(88975): 7(0.153234), 
8580(205435): 7(0.070189), 
8581(208081): 7(0.147996), 
8582(484504): 7(0.035027), 
8583(474008): 7(0.084207), 
8584(362625): 7(0.035031), 
8585(389629): 7(0.035026), 
8586(530570): 7(0.091043), 
8587(268279): 7(0.091405), 
8588(479562): 7(0.098423), 
8589(544867): 7(0.035018), 
8590(12343): 7(0.035020), 
8591(418796): 2(0.020541), 
8592(74886): 2(0.020535), 
8593(493643): 2(0.020532), 
8594(144331): 2(0.027118), 
8595(277120): 2(0.094523), 
8596(238844): 3(0.054203), 
8597(485903): 0(0.026610), 
8598(85391): 0(0.033158), 
8599(440103): 0(0.033404), 
8600(25975): 0(0.075039), 3(0.032053), 
8601(457291): 
8602(502916): 3(0.032623), 
8603(376285): 0(0.046470), 
8604(458011): 3(0.026501), 
8605(486274): 3(0.019775), 
8606(250684): 3(0.019789), 
8607(359258): 
8608(442491): 4(0.070912), 
8609(286449): 4(0.028288), 
8610(41175): 4(0.014139), 
8611(43264): 4(0.034888), 
8612(370529): 4(0.014143), 
8613(297136): 
8614(168187): 4(0.027749), 
8615(307105): 4(0.020373), 
8616(398116): 
8617(325263): 1(0.041480), 
8618(269250): 1(0.041553), 
8619(517812): 7(0.027735), 
8620(473027): 7(0.027529), 
8621(3136): 7(0.077249), 
8622(231778): 7(0.098628), 
8623(457547): 0(0.033778), 
8624(134199): 
8625(484059): 1(0.017899), 
8626(158761): 1(0.053674), 
8627(349810): 1(0.046845), 
8628(202896): 1(0.182899), 
8629(270589): 
8630(301142): 
8631(452833): 1(0.029668), 
8632(55162): 1(0.047754), 
8633(138632): 3(0.033744), 
8634(528638): 3(0.068969), 4(0.035333), 
8635(321663): 3(0.020197), 
8636(31631): 3(0.020004), 
8637(167473): 3(0.117347), 
8638(157611): 3(0.068554), 
8639(328782): 4(0.013902), 
8640(490456): 4(0.055991), 
8641(104590): 4(0.064187), 
8642(8767): 3(0.054324), 
8643(177022): 3(0.068312), 
8644(390947): 
8645(479087): 3(0.025330), 
8646(407117): 3(0.047402), 
8647(231874): 1(0.024007), 
8648(456111): 1(0.029793), 
8649(538001): 4(0.036255), 
8650(487600): 4(0.259800), 
8651(272859): 4(0.036184), 
8652(476668): 4(0.114794), 
8653(297358): 4(0.036113), 
8654(411845): 4(0.021625), 
8655(168814): 4(0.021464), 
8656(470022): 4(0.159182), 
8657(68984): 4(0.014412), 
8658(444711): 4(0.028929), 
8659(298797): 4(0.021561), 
8660(149793): 4(0.041082), 
8661(282730): 
8662(72007): 
8663(364255): 4(0.014357), 
8664(525729): 4(0.021309), 
8665(32366): 4(0.036179), 
8666(448037): 4(0.036179), 
8667(410132): 4(0.036160), 
8668(286198): 4(0.014362), 
8669(529936): 4(0.021547), 
8670(59074): 4(0.036178), 
8671(295317): 4(0.036166), 
8672(261793): 4(0.021629), 
8673(497386): 4(0.240000), 
8674(112895): 4(0.028928), 
8675(335712): 4(0.036121), 
8676(225456): 4(0.050344), 
8677(72129): 4(0.036178), 
8678(489486): 4(0.036129), 
8679(465318): 4(0.036178), 
8680(400620): 
8681(142670): 
8682(479123): 2(0.022571), 
8683(193798): 6(0.055717), 
8684(88387): 6(0.069553), 
8685(104449): 6(0.174128), 
8686(158136): 6(0.034547), 
8687(538562): 6(0.027695), 
8688(155906): 6(0.174559), 
8689(257322): 6(0.027735), 
8690(40423): 6(0.048674), 
8691(216798): 6(0.041481), 
8692(70386): 4(0.034441), 
8693(20140): 
8694(170820): 4(0.070773), 
8695(150049): 4(0.027907), 
8696(543514): 4(0.042040), 
8697(68310): 4(0.027763), 
8698(237154): 6(0.147213), 
8699(529567): 6(0.034716), 
8700(162981): 
8701(203414): 6(0.034945), 
8702(110010): 6(0.041054), 
8703(361118): 6(0.021126), 
8704(323554): 6(0.154396), 
8705(65451): 6(0.021366), 
8706(450842): 6(0.034861), 
8707(487922): 6(0.140361), 
8708(3441): 6(0.019930), 
8709(427674): 6(0.056106), 
8710(246529): 6(0.027894), 
8711(300295): 6(0.027893), 
8712(115196): 6(0.041870), 
8713(45812): 6(0.133177), 
8714(80156): 6(0.048666), 
8715(479006): 6(0.069891), 
8716(498875): 6(0.062863), 
8717(459560): 6(0.034945), 
8718(427877): 6(0.034821), 
8719(172315): 0(0.026455), 
8720(173777): 0(0.046322), 
8721(535593): 0(0.073110), 
8722(167251): 0(0.039849), 
8723(488884): 
8724(314357): 1(0.031850), 
8725(434976): 
8726(543400): 1(0.016942), 
8727(535725): 0(0.026587), 
8728(308689): 0(0.019541), 
8729(239751): 0(0.094650), 
8730(302715): 0(0.142320), 
8731(382440): 4(0.078732), 
8732(150630): 4(0.035609), 
8733(33208): 4(0.020726), 
8734(115906): 4(0.064186), 
8735(334355): 4(0.042601), 
8736(338110): 4(0.020662), 
8737(360789): 1(0.017706), 
8738(379351): 7(0.041946), 
8739(157625): 7(0.055840), 
8740(280276): 7(0.055690), 
8741(246094): 
8742(434457): 0(0.019203), 
8743(246096): 4(0.027778), 
8744(249425): 4(0.027782), 
8745(477418): 4(0.027783), 
8746(157063): 4(0.027771), 
8747(215117): 4(0.034921), 
8748(490909): 3(0.033423), 
8749(323921): 3(0.033907), 
